"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 18 16:19:38 ALMT 2023","Tue Apr 18 16:19:54 ALMT 2023","16236","TrackStudio integration tests","Integration_Tests","com.ts.integration.tests.proc_sla_feature.SlaFeature1Test","com.ts.integration.tests.proc_sla_feature.SlaFeature1Test","msgSlaFeatureBuGonAcceptRetry","Сообщить о замечании",""
"passed","Tue Apr 18 15:43:59 ALMT 2023","Tue Apr 18 15:44:07 ALMT 2023","7321","TrackStudio integration tests","Integration_Tests","com.ts.integration.tests.proc_sla_bug.SlaBug5Test","com.ts.integration.tests.proc_sla_bug.SlaBug5Test","slaBugCat","создание задачи",""
"passed","Tue Apr 18 15:55:24 ALMT 2023","Tue Apr 18 15:56:29 ALMT 2023","65524","TrackStudio integration tests","Integration_Tests","com.ts.integration.tests.proc_sla_bug.SlaBug9Test","com.ts.integration.tests.proc_sla_bug.SlaBug9Test","slaBugMsgAnalize","принятие на анализ",""
"passed","Tue Apr 18 15:44:30 ALMT 2023","Tue Apr 18 15:44:43 ALMT 2023","13333","TrackStudio integration tests","Integration_Tests","com.ts.integration.tests.proc_sla_bug.SlaBug8Test","com.ts.integration.tests.proc_sla_bug.SlaBug8Test","slaBugCat","создание задачи",""
"passed","Tue Apr 18 16:06:17 ALMT 2023","Tue Apr 18 16:06:45 ALMT 2023","27911","TrackStudio integration tests","Integration_Tests","com.ts.integration.tests.proc_sla_feature.SlaFeature3Test","com.ts.integration.tests.proc_sla_feature.SlaFeature3Test","msgSlaFeatureChangeCurrentRole","изменить ответственную роль",""
"passed","Tue Apr 18 16:02:08 ALMT 2023","Tue Apr 18 16:02:39 ALMT 2023","31130","TrackStudio integration tests","Integration_Tests","com.ts.integration.tests.proc_sla_bug.SlaBug8Test","com.ts.integration.tests.proc_sla_bug.SlaBug8Test","slaBugMsgRequestInfo","запросить информацию",""
"passed","Tue Apr 18 15:43:55 ALMT 2023","Tue Apr 18 15:43:57 ALMT 2023","2280","TrackStudio integration tests","Integration_Tests","com.ts.integration.tests.proc_sla_bug.SlaBug3Test","com.ts.integration.tests.proc_sla_bug.SlaBug3Test","slaBugCat","создание задачи",""
"passed","Tue Apr 18 15:54:00 ALMT 2023","Tue Apr 18 15:54:02 ALMT 2023","2000","TrackStudio integration tests","Integration_Tests","com.ts.integration.tests.proc_sla_bug.SlaBug6Test","com.ts.integration.tests.proc_sla_bug.SlaBug6Test","slaBugMsgClose","закрыть задачу",""
"passed","Tue Apr 18 16:16:02 ALMT 2023","Tue Apr 18 16:16:20 ALMT 2023","18496","TrackStudio integration tests","Integration_Tests","com.ts.integration.tests.proc_sla_bug.SlaBug2Test","com.ts.integration.tests.proc_sla_bug.SlaBug2Test","slaBugMsgAcceptSolution","ошибка устранена",""
"passed","Tue Apr 18 15:48:01 ALMT 2023","Tue Apr 18 15:48:47 ALMT 2023","46833","TrackStudio integration tests","Integration_Tests","com.ts.integration.tests.proc_sla_feature.SlaFeature3Test","com.ts.integration.tests.proc_sla_feature.SlaFeature3Test","msgSlaFeatureCat","Создание задачи",""
"passed","Tue Apr 18 16:20:20 ALMT 2023","Tue Apr 18 16:21:01 ALMT 2023","40513","TrackStudio integration tests","Integration_Tests","com.ts.integration.tests.proc_sla_feature.SlaFeature1Test","com.ts.integration.tests.proc_sla_feature.SlaFeature1Test","msgSlaFeatureSendRetry","Отправить в патч",""
"passed","Tue Apr 18 16:12:39 ALMT 2023","Tue Apr 18 16:12:49 ALMT 2023","9994","TrackStudio integration tests","Integration_Tests","com.ts.integration.tests.proc_sla_bug.SlaBug5Test","com.ts.integration.tests.proc_sla_bug.SlaBug5Test","slaBugMsgAcceptHotFix","подтвердить исправление",""
"passed","Tue Apr 18 16:10:26 ALMT 2023","Tue Apr 18 16:10:34 ALMT 2023","8165","TrackStudio integration tests","Integration_Tests","com.ts.integration.tests.proc_sla_bug.SlaBug5Test","com.ts.integration.tests.proc_sla_bug.SlaBug5Test","slaBugMsgReturn","вернуть в работу",""
"passed","Tue Apr 18 16:11:05 ALMT 2023","Tue Apr 18 16:11:12 ALMT 2023","7238","TrackStudio integration tests","Integration_Tests","com.ts.integration.tests.proc_sla_feature.SlaFeature3Test","com.ts.integration.tests.proc_sla_feature.SlaFeature3Test","msgSlaFeatureAcceptPreCost","Принять предварительные условия реализации",""
"passed","Tue Apr 18 16:15:28 ALMT 2023","Tue Apr 18 16:15:34 ALMT 2023","6261","TrackStudio integration tests","Integration_Tests","com.ts.integration.tests.proc_sla_bug.SlaBug2Test","com.ts.integration.tests.proc_sla_bug.SlaBug2Test","slaBugMsgProvideInfoRetry","предоставить решение",""
"passed","Tue Apr 18 16:02:39 ALMT 2023","Tue Apr 18 16:03:08 ALMT 2023","28844","TrackStudio integration tests","Integration_Tests","com.ts.integration.tests.proc_sla_bug.SlaBug9Test","com.ts.integration.tests.proc_sla_bug.SlaBug9Test","slaBugMsgStart","начать работу",""
"passed","Tue Apr 18 16:18:29 ALMT 2023","Tue Apr 18 16:18:46 ALMT 2023","17181","TrackStudio integration tests","Integration_Tests","com.ts.integration.tests.proc_sla_feature.SlaFeature1Test","com.ts.integration.tests.proc_sla_feature.SlaFeature1Test","msgSlaFeatureToClientTest","Передать на проверку клиенту",""
